STATE,LIBNAME,ADDRESS,CITY,ZIP,CNTY,SQ_FEET,HOURS,WKS_OPEN,LONGITUD,LATITUDE
VA,MONTPELIER BRANCH LIBRARY,17205 SYCAMORE TAVERN LANE,MONTPELIER,23192,HANOVER,2500,-1,-1,-77.688339,37.82274
VA,ATLEE BRANCH LIBRARY,9161 ATLEE ROAD,MECHANICSVILLE,23116,HANOVER,13000,-1,-1,-77.398843,37.64962
VA,PEARISBURG PUBLIC LIBRARY,209 FORT BRANCH ROAD,PEARISBURG,24134,GILES,4000,-1,-1,-80.723278,37.3256
VA,PETERSBURG PUBLIC LIBRARY,137 S. SYCAMORE STREET,PETERSBURG,23803,PETERSBURG,12000,-1,-1,-77.402349,37.22539
VA,A. P. HILL BRANCH LIBRARY,1237 HALIFAX STREET,PETERSBURG,23803,PETERSBURG,1200,-1,-1,-77.413054,37.21017
VA,RODOF SHOLOM BRANCH LIBRARY,1865 S. SYCAMORE STREET,PETERSBURG,23805,PETERSBURG,4000,-1,-1,-77.386461,37.20434
VA,PITTSYLVANIA COUNTY PUBLIC LIBRARY,24 MILITARY DRIVE,CHATHAM,24531,PITTSYLVANIA,7600,-1,-1,-79.400401,36.82817
VA,BROSVILLE/CASCADE BRANCH LIBRARY,11948 MARTINSVILLE HIGHWAY,DANVILLE,24541,PITTSYLVANIA,3300,-1,-1,-79.607183,36.62269
VA,GRETNA BRANCH LIBRARY,207 A COFFEY STREET,GRETNA,24557,PITTSYLVANIA,3910,-1,-1,-79.368104,36.94648
VA,PITTSYLVANIA COUNTY BOOKMOBILE,24 MILITARY DRIVE,CHATHAM,24531,PITTSYLVANIA,-3,-1,-1,-79.400401,36.828175
VA,MT.HERMON BRANCH LIBRARY,"2725 FRANKLIN TURNPIKE, SUITE J",DANVILLE,24540,PITTSYLVANIA,2100,-1,-1,-79.411314,36.658233
VA,POQUOSON PUBLIC LIBRARY,500 CITY HALL AVE.,POQUOSON,23662,POQUOSON,14200,-1,-1,-76.396583,37.12293
VA,PORTSMOUTH PUBLIC LIBRARY,601 COURT STREET,PORTSMOUTH,23704,PORTSMOUTH,23500,-1,-1,-76.300816,36.83442
VA,CHURCHLAND BRANCH,4934 HIGH STREET WEST,PORTSMOUTH,23703,PORTSMOUTH,5993,-1,-1,-76.377855,36.850991
VA,CRADOCK BRANCH,28 PROSPECT PARKWAY,PORTSMOUTH,23702,PORTSMOUTH,4480,-1,-1,-76.317795,36.80165
VA,MANOR BRANCH,1401 ELMHURST LANE,PORTSMOUTH,23701,PORTSMOUTH,6100,-1,-1,-76.381417,36.81469
VA,POWHATAN COUNTY PUBLIC LIBRARY,2270 MANN RD.,POWHATAN,23139,POWHATAN,16000,-1,-1,-77.923803,37.54939
VA,DALE CITY NEIGHBORHOOD LIBRARY,4249 DALE BOULEVARD,DALE CITY,22193,PRINCE WILLIAM,2475,-1,-1,-77.33693,38.64415
