zipCode,rent_201501,rent_imputed,homeprice_201501,homeprice_imputed,valuechange_5year,valchange_imputed
57780,1030.75,1,91425,1,0.077347113117693,1
57782,1122.75,1,120875,1,0.06883338518969,1
57783,1122.75,1,166275,1,0.0397009919938027,1
57785,1122.75,1,112825,1,0.0719380470925936,1
57787,1122.75,1,164850,1,0.089155067116309,1
57788,1122.75,1,112825,1,0.0719380470925936,1
57790,1030.75,1,136250,1,0.089962158592174,1
57791,1030.75,1,136250,1,0.089962158592174,1
57792,1122.75,1,227925,1,0.0910809469872444,1
57793,1122.75,1,133225,1,0.0548747531260586,1
57794,1030.75,1,91425,1,0.077347113117693,1
57799,1122.75,1,166275,1,0.0397009919938027,1
58001,1162.25,1,182925,1,0.0339804620734438,1
58002,1143.25,1,165825,1,0.0408876474227868,1
58004,1143.25,1,165825,1,0.0408876474227868,1
58005,1143.25,1,165825,1,0.0408876474227868,1
58006,1143.25,1,165825,1,0.0408876474227868,1
58007,1143.25,1,165825,1,0.0408876474227868,1
58008,1111.75,1,168200,1,0.0385739449629246,1
58009,1188,1,150000,1,0.0434468091069942,1
58011,1143.25,1,165825,1,0.0408876474227868,1
58012,1143.25,1,165825,1,0.0408876474227868,1
58013,1044.25,1,151725,1,0.0385739449629246,1
58015,1143.25,1,168200,1,0.0385739449629246,1
58016,1196,1,150000,1,0.0434468091069942,1
58017,1078,1,136650,1,0.0408876474227868,1
58018,1111.75,1,168200,1,0.0385739449629246,1
58021,1143.25,1,165825,1,0.0408876474227868,1
58027,1122.5,1,151725,1,0.0408876474227868,1
58029,1143.25,1,165825,1,0.0408876474227868,1
58030,1106.5,1,182925,1,0.0339804620734438,1
58031,1122.5,1,151725,1,0.0408876474227868,1
58032,1078,1,136650,1,0.0408876474227868,1
58033,1099.25,1,136650,1,0.0408876474227868,1
58035,1188,1,165825,1,0.0408876474227868,1
58036,1143.25,1,143850,1,0.0364470374797733,1
58038,1143.25,1,143850,1,0.0364470374797733,1
58040,1078,1,136650,1,0.0408876474227868,1
58041,1106.5,1,167075,1,0.0344590368820221,1
58042,1143.25,1,165825,1,0.0408876474227868,1
58043,1095.75,1,136650,1,0.0408876474227868,1
58045,1161.75,1,150000,1,0.0434468091069942,1
58046,1196,1,150000,1,0.0434468091069942,1
58047,1143.25,1,168200,1,0.0385739449629246,1
58048,1143.25,1,165825,1,0.0408876474227868,1
58049,1099.25,1,136650,1,0.0408876474227868,1
58051,1143.25,1,165825,1,0.0408876474227868,1
58052,1143.25,1,165825,1,0.0408876474227868,1
58053,1073,1,168200,1,0.0385739449629246,1
58054,1108.75,1,151725,1,0.0408876474227868,1
58056,1144.5,1,135900,1,0.0455737165901454,1
58057,1120.5,1,165825,1,0.0408876474227868,1
58058,1073,1,168200,1,0.0385739449629246,1
58059,1143.25,1,165825,1,0.0408876474227868,1
58060,1091,1,151725,1,0.0408876474227868,1
58061,1162.25,1,182925,1,0.0339804620734438,1
58062,1099.25,1,136650,1,0.0408876474227868,1
58063,1112.25,1,151725,1,0.0408876474227868,1
58064,1143.25,1,165825,1,0.0408876474227868,1
58065,1130.5,1,136650,1,0.0408876474227868,1
58067,1091,1,151725,1,0.0408876474227868,1
58068,1143.25,1,165825,1,0.0408876474227868,1
58069,1099.25,1,136650,1,0.0408876474227868,1
58071,1143.25,1,165825,1,0.0408876474227868,1
58072,1099.25,1,136650,1,0.0408876474227868,1
58076,1109.5,1,183025,1,0.0312644444273663,1
58077,1111.75,1,168200,1,0.0385739449629246,1
58079,1143.25,1,165825,1,0.0408876474227868,1
58081,1111.75,1,168200,1,0.0385739449629246,1
58105,1143.25,1,165825,1,0.0408876474227868,1
58202,1227,1,150000,1,0.0434468091069942,1
58204,1227,1,150000,1,0.0434468091069942,1
58205,1227,1,150000,1,0.0434468091069942,1
58210,1203.5,1,150000,1,0.0434468091069942,1
58212,1217,1,150000,1,0.0434468091069942,1
58214,1227,1,150000,1,0.0434468091069942,1
58216,1227,1,150000,1,0.0434468091069942,1
58218,1223.75,1,150000,1,0.0434468091069942,1
58219,1223.75,1,150000,1,0.0434468091069942,1
58220,1227,1,150000,1,0.0434468091069942,1
58222,1227,1,150000,1,0.0434468091069942,1
58223,1223.75,1,150000,1,0.0434468091069942,1
58224,1203.5,1,150000,1,0.0434468091069942,1
58225,1227,1,150000,1,0.0434468091069942,1
58227,1227,1,150000,1,0.0434468091069942,1
58228,1227,1,150000,1,0.0434468091069942,1
58229,1203.5,1,150000,1,0.0434468091069942,1
58230,1185.75,1,150000,1,0.0434468091069942,1
58231,1227,1,150000,1,0.0434468091069942,1
58233,1227,1,150000,1,0.0434468091069942,1
58235,1227,1,150000,1,0.0434468091069942,1
58237,1227,1,150000,1,0.0434468091069942,1
58238,1227,1,150000,1,0.0434468091069942,1
58239,1217,1,169425,1,0.0446998256498272,1
58240,1227,1,150000,1,0.0434468091069942,1
58241,1227,1,150000,1,0.0434468091069942,1
58243,1227,1,150000,1,0.0434468091069942,1
58244,1227,1,150000,1,0.0434468091069942,1
58249,1203.5,1,150000,1,0.0434468091069942,1
58250,1203.5,1,150000,1,0.0434468091069942,1
58251,1227,1,150000,1,0.0434468091069942,1
58254,1217,1,150000,1,0.0434468091069942,1
58256,1227,1,150000,1,0.0434468091069942,1
58257,1185.5,1,150000,1,0.0434468091069942,1
58258,1227,1,150000,1,0.0434468091069942,1
58259,1217,1,150000,1,0.0434468091069942,1
58260,1203.5,1,150000,1,0.0434468091069942,1
58261,1227,1,150000,1,0.0434468091069942,1
58262,1227,1,150000,1,0.0434468091069942,1
58265,1227,1,150000,1,0.0434468091069942,1
58266,1227,1,150000,1,0.0434468091069942,1
58267,1227,1,150000,1,0.0434468091069942,1
58269,1203.5,1,150000,1,0.0434468091069942,1
58270,1227,1,150000,1,0.0434468091069942,1
58271,1227,1,150000,1,0.0434468091069942,1
58272,1203.5,1,150000,1,0.0434468091069942,1
58273,1227,1,150000,1,0.0434468091069942,1
58274,1196,1,150000,1,0.0434468091069942,1
58275,1227,1,150000,1,0.0434468091069942,1
58276,1227,1,150000,1,0.0434468091069942,1
58277,1185.75,1,150000,1,0.0434468091069942,1
58278,1227,1,150000,1,0.0434468091069942,1
58281,1217,1,150000,1,0.0434468091069942,1
58282,1227,1,150000,1,0.0434468091069942,1
58301,1217,1,135450,1,0.0696300611261615,1
58311,1217,1,150000,1,0.0434468091069942,1
58316,1217,1,244350,1,0.0790127051079105,1
58317,1217,1,244350,1,0.0790127051079105,1
58318,1196,1,244350,1,0.0790127051079105,1
58321,1217,1,150000,1,0.0434468091069942,1
58323,1217,1,195925,1,0.0599589573767341,1
58324,1217,1,195925,1,0.0599589573767341,1
58325,1217,1,228350,1,0.0696300611261615,1
58327,1217,1,135450,1,0.0434468091069942,1
58329,1196,1,244350,1,0.0790127051079105,1
58330,1217,1,150000,1,0.0434468091069942,1
58331,1217,1,195925,1,0.0599589573767341,1
58332,1130.5,1,244350,1,0.0790127051079105,1
58335,1196,1,195000,1,0.0696300611261615,1
58338,1217,1,150000,1,0.0434468091069942,1
58339,1217,1,244350,1,0.0790127051079105,1
58341,1130.5,1,266050,1,0.0790127051079105,1
58343,1196,1,244350,1,0.0790127051079105,1
58344,1217,1,150000,1,0.0434468091069942,1
58345,1217,1,150000,1,0.0434468091069942,1
58346,1196,1,244350,1,0.0790127051079105,1
58348,1130.5,1,266050,1,0.0790127051079105,1
58351,1196,1,266050,1,0.0790127051079105,1
58352,1217,1,195925,1,0.0599589573767341,1
58353,1217,1,244350,1,0.0790127051079105,1
