zipcode,state,actual_med_income,predicted_med_income,residual,abs_residual
2702,25,89833,81702.10886,8130.891139,8130.891139
2703,25,67039,67119.72857,-80.72857143,80.72857143
2713,25,38333,59253.44216,-20920.44216,20920.44216
2718,25,80211,72575.51374,7635.486264,7635.486264
2719,25,60326,59253.44216,1072.557836,1072.557836
2720,25,41910,41685.6773,224.3227017,224.3227017
2723,25,28120,35005.08299,-6885.082988,6885.082988
2725,25,67396,59253.44216,8142.557836,8142.557836
2726,25,74141,72575.51374,1565.486264,1565.486264
2739,25,78864,81702.10886,-2838.108861,2838.108861
2740,25,34259,35005.08299,-746.0829876,746.0829876
2743,25,66276,59253.44216,7022.557836,7022.557836
2744,25,31216,35005.08299,-3789.082988,3789.082988
2745,25,47536,46295.85534,1240.144663,1240.144663
2746,25,25623,35005.08299,-9382.082988,9382.082988
2747,25,71073,72575.51374,-1502.513736,1502.513736
2748,25,64077,72575.51374,-8498.513736,8498.513736
2763,25,125769,107168.6996,18600.30043,18600.30043
2764,25,79615,81702.10886,-2087.108861,2087.108861
2766,25,81069,81702.10886,-633.1088608,633.1088608
2767,25,80761,81702.10886,-941.1088608,941.1088608
2769,25,82500,81702.10886,797.8911392,797.8911392
2770,25,88636,81702.10886,6933.891139,6933.891139
2771,25,70966,81702.10886,-10736.10886,10736.10886
2777,25,71179,68283.34201,2895.657993,2895.657993
2779,25,90741,81702.10886,9038.891139,9038.891139
2780,25,49732,52754.76619,-3022.766187,3022.766187
2790,25,78750,67119.72857,11630.27143,11630.27143
2791,25,71042,74586.77778,-3544.777778,3544.777778
2802,44,48456,59253.44216,-10797.44216,10797.44216
2806,44,103696,107168.6996,-3472.699571,3472.699571
2807,44,90491,74586.77778,15904.22222,15904.22222
2808,44,73382,59253.44216,14128.55784,14128.55784
2809,44,62358,74586.77778,-12228.77778,12228.77778
2812,44,110233,81702.10886,28530.89114,28530.89114
2813,44,69349,72575.51374,-3226.513736,3226.513736
2814,44,82127,68283.34201,13843.65799,13843.65799
2815,44,125000,93776.34667,31223.65333,31223.65333
2816,44,64581,72575.51374,-7994.513736,7994.513736
2817,44,78438,81702.10886,-3264.108861,3264.108861
2818,44,85429,92801.75,-7372.75,7372.75
2827,44,93750,81702.10886,12047.89114,12047.89114
2830,44,66658,68283.34201,-1625.342007,1625.342007
2831,44,82207,81702.10886,504.8911392,504.8911392
2832,44,57318,81702.10886,-24384.10886,24384.10886
