zip,com_elecrate,ind_elecrate,res_elecrate
1607,16.029,15.957,15.432
1608,16.029,15.957,15.432
1609,16.029,15.957,15.432
1610,16.029,15.957,15.432
1611,16.029,15.957,15.432
1612,16.029,15.957,15.432
1701,17.691,17.972,17.8035
1702,19.353,19.987,20.175
1718,19.353,19.987,20.175
1719,17.691,17.972,17.8035
1720,17.691,17.972,17.8035
1721,17.691,17.972,17.8035
1730,17.691,17.972,17.8035
1731,19.353,19.987,20.175
1740,16.029,15.957,15.432
1741,17.691,17.972,17.8035
1742,19.353,19.987,20.175
1745,17.691,17.972,17.8035
1746,17.691,17.972,17.8035
1747,17.691,17.972,17.8035
1748,17.691,17.972,17.8035
1749,17.691,17.972,17.8035
1752,17.691,17.972,17.8035
1754,19.353,19.987,20.175
1756,17.691,17.972,17.8035
1757,17.691,17.972,17.8035
1760,19.353,19.987,20.175
1770,19.353,19.987,20.175
1772,17.691,17.972,17.8035
1773,19.353,19.987,20.175
1775,17.691,17.972,17.8035
1776,17.691,17.972,17.8035
1778,19.353,19.987,20.175
1801,19.353,19.987,20.175
1803,17.691,17.972,17.8035
1805,19.353,19.987,20.175
1810,16.029,15.957,15.432
1821,17.691,17.972,17.8035
1824,17.691,17.972,17.8035
1826,13.32,13.1845,13.981
1827,14.852,14.4225,15.287
1830,16.029,15.957,15.432
1832,16.029,15.957,15.432
1833,16.029,15.957,15.432
1834,16.029,15.957,15.432
1835,16.029,15.957,15.432
1840,16.029,15.957,15.432
1841,16.029,15.957,15.432
1843,16.029,15.957,15.432
1844,13.32,13.1845,13.981
1845,16.029,15.957,15.432
1850,16.029,15.957,15.432
1851,16.029,15.957,15.432
1852,16.029,15.957,15.432
1854,16.029,15.957,15.432
1860,16.029,15.957,15.432
1862,17.691,17.972,17.8035
1863,16.029,15.957,15.432
1864,16.029,15.957,15.432
1867,19.353,19.987,20.175
1876,16.029,15.957,15.432
1879,13.43833333,13.08566667,14.368
1880,17.691,17.972,17.8035
1886,17.691,17.972,17.8035
1887,17.691,17.972,17.8035
1890,17.691,17.972,17.8035
1901,16.029,15.957,15.432
1902,16.029,15.957,15.432
1904,16.029,15.957,15.432
1905,16.029,15.957,15.432
1906,16.029,15.957,15.432
1907,16.029,15.957,15.432
1908,16.029,15.957,15.432
1913,16.029,15.957,15.432
1915,16.029,15.957,15.432
1921,16.029,15.957,15.432
1922,16.029,15.957,15.432
1923,16.029,15.957,15.432
1929,16.029,15.957,15.432
1930,16.029,15.957,15.432
1938,16.029,15.957,15.432
1940,16.029,15.957,15.432
1944,16.029,15.957,15.432
1945,16.029,15.957,15.432
1949,16.029,15.957,15.432
1950,16.029,15.957,15.432
1951,16.029,15.957,15.432
1952,16.029,15.957,15.432
1960,16.029,15.957,15.432
1966,16.029,15.957,15.432
1969,16.029,15.957,15.432
1970,16.029,15.957,15.432
1982,16.029,15.957,15.432
1983,16.029,15.957,15.432
1984,16.029,15.957,15.432
1985,16.029,15.957,15.432
2019,17.691,17.972,17.8035
2021,17.691,17.972,17.8035
2025,16.029,15.957,15.432
2026,19.353,19.987,20.175
2030,19.353,19.987,20.175
2032,19.353,19.987,20.175
2035,17.691,17.972,17.8035
2038,17.691,17.972,17.8035
2043,16.029,15.957,15.432
2045,16.029,15.957,15.432
2047,17.295,16.303,19.527
2048,16.029,15.957,15.432
2050,16.662,16.13,17.4795
2051,17.295,16.303,19.527
2052,19.353,19.987,20.175
2053,17.691,17.972,17.8035
2054,19.353,19.987,20.175
2056,17.691,17.972,17.8035
2061,16.662,16.13,17.4795
2062,19.353,19.987,20.175
2066,16.662,16.13,17.4795
2067,17.691,17.972,17.8035
2071,17.691,17.972,17.8035
2072,17.691,17.972,17.8035
2081,17.691,17.972,17.8035
2090,19.353,19.987,20.175
2093,16.35833333,16.23566667,16.90166667
2108,19.353,19.987,20.175
2109,19.353,19.987,20.175
2110,19.353,19.987,20.175
2111,19.353,19.987,20.175
2113,19.353,19.987,20.175
2114,18.256,18.2415,20.6565
2115,19.353,19.987,20.175
2116,19.353,19.987,20.175
2118,19.353,19.987,20.175
2119,19.353,19.987,20.175
2120,19.353,19.987,20.175
2121,19.353,19.987,20.175
2122,19.353,19.987,20.175
2124,17.691,17.972,17.8035
2125,19.353,19.987,20.175
2126,19.353,19.987,20.175
2127,19.353,19.987,20.175
2128,17.691,17.972,17.8035
2129,17.691,17.972,17.8035
2130,19.353,19.987,20.175
2131,19.353,19.987,20.175
2132,19.353,19.987,20.175
2134,18.256,18.2415,20.6565
2135,18.256,18.2415,20.6565
2136,19.353,19.987,20.175
2138,18.256,18.2415,20.6565
2139,18.256,18.2415,20.6565
2140,18.256,18.2415,20.6565
2141,18.256,18.2415,20.6565
2142,17.159,16.496,21.138
2143,18.256,18.2415,20.6565
2144,17.51366667,17.48,18.915
2145,17.691,17.972,17.8035
2148,17.691,17.972,17.8035
2149,17.691,17.972,17.8035
2150,17.691,17.972,17.8035
2151,17.691,17.972,17.8035
2152,17.691,17.972,17.8035
2155,17.691,17.972,17.8035
2163,18.256,18.2415,20.6565
2169,17.691,17.972,17.8035
2170,17.691,17.972,17.8035
2171,17.691,17.972,17.8035
2176,17.691,17.972,17.8035
2180,17.691,17.972,17.8035
2184,16.029,15.957,15.432
2186,17.691,17.972,17.8035
2188,16.029,15.957,15.432
2189,16.029,15.957,15.432
2190,16.029,15.957,15.432
2191,16.029,15.957,15.432
2199,19.353,19.987,20.175
2203,19.353,19.987,20.175
2210,19.353,19.987,20.175
2215,19.353,19.987,20.175
2222,19.353,19.987,20.175
2301,16.029,15.957,15.432
2302,16.029,15.957,15.432
2322,16.029,15.957,15.432
2324,16.029,15.957,15.432
2330,17.295,16.303,19.527
2332,16.662,16.13,17.4795
2333,16.029,15.957,15.432
2338,16.662,16.13,17.4795
2339,16.029,15.957,15.432
2341,16.029,15.957,15.432
2343,16.029,15.957,15.432
2346,16.662,16.13,17.4795
2347,17.295,16.303,19.527
2351,16.029,15.957,15.432
2356,16.029,15.957,15.432
2359,16.662,16.13,17.4795
2360,17.295,16.303,19.527
2364,16.662,16.13,17.4795
2367,16.662,16.13,17.4795
2368,17.691,17.972,17.8035
2370,16.029,15.957,15.432
2375,16.029,15.957,15.432
2379,16.029,15.957,15.432
2382,16.029,15.957,15.432
2420,19.353,19.987,20.175
2421,19.353,19.987,20.175
2445,19.353,19.987,20.175
2446,19.353,19.987,20.175
2451,19.353,19.987,20.175
2452,19.353,19.987,20.175
2453,19.353,19.987,20.175
2458,19.353,19.987,20.175
2459,19.353,19.987,20.175
2460,19.353,19.987,20.175
2461,19.353,19.987,20.175
2462,19.353,19.987,20.175
2464,19.353,19.987,20.175
2465,19.353,19.987,20.175
2466,19.353,19.987,20.175
2467,19.353,19.987,20.175
2468,19.353,19.987,20.175
2472,18.256,18.2415,20.6565
2474,17.51366667,17.48,18.915
2476,19.353,19.987,20.175
2478,18.256,18.2415,20.6565
2481,19.353,19.987,20.175
2482,19.353,19.987,20.175
2492,19.353,19.987,20.175
2493,19.353,19.987,20.175
2494,19.353,19.987,20.175
2532,17.295,16.303,19.527
2534,17.295,16.303,19.527
2535,17.295,16.303,19.527
2536,17.295,16.303,19.527
2537,17.295,16.303,19.527
2538,17.295,16.303,19.527
2539,17.295,16.303,19.527
2540,17.295,16.303,19.527
2542,17.295,16.303,19.527
2543,17.295,16.303,19.527
2554,18.629,18.123,17.849
2556,17.295,16.303,19.527
2558,17.295,16.303,19.527
2559,17.295,16.303,19.527
2561,17.295,16.303,19.527
2562,17.295,16.303,19.527
2563,17.295,16.303,19.527
2568,17.295,16.303,19.527
2571,17.295,16.303,19.527
2575,17.295,16.303,19.527
2576,17.295,16.303,19.527
2601,17.295,16.303,19.527
2630,17.295,16.303,19.527
2631,17.295,16.303,19.527
2632,17.295,16.303,19.527
2633,17.295,16.303,19.527
2635,17.295,16.303,19.527
2637,17.295,16.303,19.527
2638,17.295,16.303,19.527
2639,17.295,16.303,19.527
2642,17.295,16.303,19.527
2644,17.295,16.303,19.527
2645,17.295,16.303,19.527
2646,17.295,16.303,19.527
2647,17.295,16.303,19.527
2648,17.295,16.303,19.527
2649,17.295,16.303,19.527
2650,17.295,16.303,19.527
2652,17.295,16.303,19.527
2653,17.295,16.303,19.527
2655,17.295,16.303,19.527
2657,17.295,16.303,19.527
2659,17.295,16.303,19.527
2660,17.295,16.303,19.527
2663,17.295,16.303,19.527
2664,17.295,16.303,19.527
2666,17.295,16.303,19.527
2667,17.295,16.303,19.527
2668,17.295,16.303,19.527
2670,17.295,16.303,19.527
2671,17.295,16.303,19.527
2673,17.295,16.303,19.527
2675,17.295,16.303,19.527
2702,16.662,16.13,17.4795
2703,14.861,14.36,15.265
2715,16.029,15.957,15.432
2717,16.662,16.13,17.4795
2719,17.295,16.303,19.527
2720,16.662,16.13,17.4795
2721,14.861,14.36,15.265
2723,16.029,15.957,15.432
2724,16.029,15.957,15.432
2725,16.029,15.957,15.432
2726,16.029,15.957,15.432
2738,17.295,16.303,19.527
2739,17.295,16.303,19.527
2740,17.295,16.303,19.527
2743,17.295,16.303,19.527
2744,17.295,16.303,19.527
2745,17.295,16.303,19.527
2746,17.295,16.303,19.527
2747,16.662,16.13,17.4795
2748,17.295,16.303,19.527
2760,16.029,15.957,15.432
2762,16.029,15.957,15.432
2763,16.029,15.957,15.432
2764,16.029,15.957,15.432
2766,16.029,15.957,15.432
2767,16.029,15.957,15.432
2769,16.029,15.957,15.432
2770,17.295,16.303,19.527
2771,14.861,14.36,15.265
2777,16.029,15.957,15.432
2779,16.662,16.13,17.4795
2780,16.029,15.957,15.432
2790,15.67233333,15.00766667,16.68566667
2802,13.693,12.763,15.098
2804,14.2555,12.5875,16.292
2806,14.861,14.36,15.265
2808,13.693,12.763,15.098
2809,13.693,12.763,15.098
2812,13.693,12.763,15.098
2813,13.693,12.763,15.098
2814,13.693,12.763,15.098
2815,13.693,12.763,15.098
2816,13.693,12.763,15.098
2817,13.693,12.763,15.098
2818,13.693,12.763,15.098
2822,13.693,12.763,15.098
2824,13.693,12.763,15.098
2825,13.693,12.763,15.098
2826,13.693,12.763,15.098
2827,13.693,12.763,15.098
2828,13.693,12.763,15.098
2830,14.861,14.36,15.265
2831,13.693,12.763,15.098
2832,13.693,12.763,15.098
2833,13.693,12.763,15.098
2835,13.693,12.763,15.098
2836,13.693,12.763,15.098
2837,15.67233333,15.00766667,16.68566667
2838,13.693,12.763,15.098
2839,13.693,12.763,15.098
2840,13.693,12.763,15.098
2842,13.693,12.763,15.098
2852,13.693,12.763,15.098
2857,13.693,12.763,15.098
2858,13.693,12.763,15.098
