zip_code,store_count
19713,1
19711,1
81401,1
94587,1
77043,1
06110,1
93257,1
11385,1
92653,1
55344,1
32839,1
92308,1
92879,1
19406,1
32837,1
19403,1
19150,1
00850,1
32303,1
33311,1
32308,1
12701,1
55901,1
07514,1
07512,1
93436,1
32780,1
60134,1
60139,1
36203,1
81008,1
01453,1
97330,1
80207,1
74120,1
00987,1
85323,1
12010,1
98005,1
43055,1
98003,1
81620,1
20745,1
20740,1
20743,1
63028,1
60007,1
64055,1
84120,1
84121,1
90220,1
70062,1
70068,1
45449,1
80112,1
53024,1
04605,1
01020,1
52732,1
36535,1
33071,1
75052,2
44646,1
60642,1
08724,1
60647,1
73127,1
48360,1
14624,1
14625,1
33181,1
14621,1
14623,1
90066,1
49417,1
34974,1
49418,1
95776,1
98841,1
45069,1
13057,1
44333,1
18702,1
33853,1
78660,1
78664,1
30324,1
94541,1
94547,1
59102,1
37174,1
76710,1
87107,1
08050,1
08051,1
30529,1
08054,1
37772,1
30525,1
34201,1
30253,1
01201,1
83616,1
78717,1
30742,1
35150,1
23502,1
95304,1
27616,1
27615,1
50702,1
02917,1
02919,1
06611,1
72703,1
06614,1
77573,1
77373,1
92264,1
06854,1
66502,1
28217,1
28213,1
28211,1
31015,1
55330,1
13601,1
55337,1
07457,1
02132,1
78840,1
89147,1
89145,1
89149,1
92081,1
66762,1
32828,1
55025,1
92646,1
92647,1
32822,1
92865,1
92311,1
19365,1
74820,1
77024,1
73072,1
92881,1
01844,1
43460,1
97140,1
31909,1
06033,1
37075,1
06037,1
81505,1
32225,2
16066,1
32222,1
19703,1
19709,1
60123,1
21117,1
98106,1
64111,1
25438,1
10805,1
94303,1
32003,1
85339,1
97322,1
11753,1
85331,1
80214,1
74137,1
51106,1
11590,1
43040,1
63901,1
99212,1
49770,1
99218,1
94015,1
94014,2
60014,1
60015,1
90250,1
90255,1
36303,1
16803,1
84115,1
80108,1
98501,1
97216,1
34957,1
98290,1
48225,1
33442,1
33446,1
33196,1
75067,1
75063,1
99508,1
99507,1
99503,1
60659,1
37013,1
34429,1
48312,1
10710,1
70128,1
48316,1
70125,1
70123,1
62650,1
14870,1
14094,1
38637,1
34947,1
10573,1
18431,1
44256,1
70737,1
48044,1
27545,1
94551,1
86429,1
94559,1
63304,1
44143,1
63303,1
37167,1
87114,1
29577,1
30240,1
30534,1
29803,1
03743,1
30533,1
08060,1
78723,1
15904,1
40220,1
80751,1
07840,1
76504,1
08081,1
07069,1
07067,1
11232,1
78654,1
01301,1
30331,1
31206,1
02908,1
30339,1
23602,1
89801,1
01906,1
77565,1
77566,1
76180,1
76182,1
07202,1
77365,1
60188,1
55109,1
92253,1
29607,1
29605,1
06824,1
28227,1
29609,1
06489,2
95993,1
48051,1
35210,1
96080,1
02125,1
72404,1
93230,1
11369,1
61354,1
32818,1
91502,1
92630,2
32810,1
55744,1
01876,1
19355,1
19606,1
77037,1
77035,1
06002,1
98665,1
77584,1
02019,1
77581,1
13662,1
32250,1
32256,1
60803,1
60804,1
98445,1
32073,1
75455,1
55811,1
46060,1
11743,1
77630,1
11581,1
97045,1
75180,1
63044,1
92405,1
49548,1
60061,1
60060,1
49093,1
93907,1
49544,1
90241,1
61820,1
78411,1
90248,1
84106,1
85296,1
05201,1
95687,1
48235,1
33186,2
90065,1
75070,1
75071,1
21704,1
75074,1
21702,1
68116,1
78738,1
83852,1
84074,1
84070,1
60462,1
33050,1
48307,1
54401,1
90660,1
80002,1
85705,1
48430,1
48433,1
44137,1
44136,1
44130,1
10509,1
49431,1
34953,1
48126,1
48125,1
95758,1
44221,1
11967,1
33458,1
18360,1
15601,1
30180,1
30294,1
30189,1
87124,1
87123,1
87120,1
94565,1
04401,1
94560,1
32503,1
62226,1
33981,1
04086,1
37204,1
30501,1
78006,1
08075,1
68803,1
89705,1
89706,1
77093,1
08096,1
24540,1
07058,1
95367,1
08091,1
92408,1
07055,1
07054,1
11101,1
78640,1
83705,1
83704,1
63114,1
