Black,Multiple,Population,White,Total_Race_Count,Other,Native_Hawaiian_Other_Pacific,Asian,American_Indian_and_Alaskan_Native,state,zip code tabulation area
3922,71,6094,2034,6094,35,0,10,22,01,35224
2691,411,31471,26350,31471,310,4,1659,46,01,35226
9142,94,10419,1088,10419,67,1,14,13,01,35228
51,2,940,876,940,1,0,8,2,01,35229
338,57,1308,800,1308,4,0,102,7,01,35233
5588,43,6311,559,6311,94,10,11,6,01,35234
9111,257,19484,9651,19484,199,3,218,45,01,35235
3963,624,49545,42306,49545,790,17,1750,95,01,35242
562,188,17328,16015,17328,119,5,394,45,01,35243
4719,506,32390,24837,32390,405,5,1844,74,01,35244
229,39,1403,1079,1403,10,1,42,3,01,35254
18391,361,39878,19805,39878,387,15,838,81,01,35401
9136,309,21251,10799,21251,730,7,191,79,01,35404
16548,406,37661,19738,37661,449,1,443,76,01,35405
1007,145,13864,12074,13864,201,0,411,26,01,35406
598,2,1060,458,1060,0,0,0,2,01,35441
3890,49,4972,998,4972,30,0,3,2,01,35442
1783,11,2009,208,2009,5,0,0,2,01,35443
211,43,3699,3393,3699,28,0,7,17,01,35444
305,23,2234,1856,2234,39,0,0,11,01,35446
1722,94,3460,1578,3460,62,0,0,4,01,35447
86,30,3880,3646,3880,92,3,14,9,01,35452
1690,133,11127,8975,11127,257,0,30,42,01,35453
600,42,3759,3056,3759,44,0,7,10,01,35456
5,5,82,71,82,1,0,0,0,01,35457
60,8,594,501,594,17,0,7,1,01,35458
613,1,872,258,872,0,0,0,0,01,35459
745,1,834,87,834,0,0,0,1,01,35460
583,6,1952,1351,1952,1,0,8,3,01,35461
4095,23,5061,896,5061,19,0,15,13,01,35462
665,13,1749,1065,1749,1,0,4,1,01,35463
576,4,654,74,654,0,0,0,0,01,35464
936,63,6075,5000,6075,38,1,24,13,01,35466
101,1,221,119,221,0,0,0,0,01,35469
3641,23,5468,1761,5468,14,2,25,2,01,35470
2629,165,14909,11620,14909,221,7,209,58,01,35473
2161,57,6180,3885,6180,31,1,18,27,01,35474
747,108,14507,13477,14507,71,6,58,40,01,35475
3745,103,8106,3774,8106,343,73,37,31,01,35476
305,0,335,30,335,0,0,0,0,01,35477
451,15,1343,874,1343,2,0,1,0,01,35480
1226,24,3668,2405,3668,8,0,0,5,01,35481
254,44,3857,3502,3857,41,0,9,7,01,35490
1827,184,10424,7999,10424,338,10,33,33,01,35501
67,85,9068,8806,9068,36,4,41,29,01,35503
236,127,13596,12936,13596,151,20,71,55,01,35504
1,20,2415,2373,2415,14,0,3,4,01,35540
11,46,3597,3515,3597,6,2,3,14,01,35541
10,9,1021,1000,1021,2,0,0,0,01,35542
0,10,1137,1109,1137,10,0,2,6,01,35543
20,8,673,644,673,0,0,0,1,01,35544
4,1,100,94,100,0,0,1,0,01,35545
115,31,3901,3726,3901,10,1,6,12,01,35546
3,15,1558,1538,1558,0,0,1,1,01,35548
176,38,4341,4098,4341,15,1,4,9,01,35549
402,80,5605,5054,5605,28,2,7,32,01,35550
51,15,1044,976,1044,2,0,0,0,01,35552
15,36,4680,4568,4680,10,5,12,34,01,35553
22,8,1186,1150,1186,2,0,3,1,01,35554
1745,123,10177,8172,10177,63,0,33,41,01,35555
0,0,57,57,57,0,0,0,0,01,35559
277,41,4340,3966,4340,34,0,3,19,01,35563
8,35,2361,2300,2361,15,0,0,3,01,35564
83,260,13485,12610,13485,363,14,43,112,01,35565
632,128,11145,10176,11145,137,3,28,41,01,35570
2,8,895,869,895,5,1,1,9,01,35571
8,19,1131,1084,1131,1,4,2,13,01,35572
94,28,1507,1374,1507,10,0,1,0,01,35574
5,13,1018,993,1018,3,0,0,4,01,35575
442,39,3217,2727,3217,3,1,1,4,01,35576
0,0,38,38,38,0,0,0,0,01,35577
21,70,5833,5708,5833,20,1,5,8,01,35578
166,34,3136,2925,3136,3,0,3,5,01,35579
307,59,3791,3389,3791,15,0,9,12,01,35580
36,75,5778,5447,5778,184,0,4,32,01,35581
44,65,4093,3837,4093,132,1,4,10,01,35582
173,9,460,275,460,1,0,2,0,01,35584
7,21,1418,1352,1418,36,0,1,1,01,35585
555,64,4469,3806,4469,36,1,2,5,01,35586
1,10,1025,1010,1025,2,0,1,1,01,35587
551,34,4664,4029,4664,34,0,1,15,01,35592
11,19,1931,1874,1931,10,6,2,9,01,35593
313,73,7794,7313,7794,61,3,14,17,01,35594
8942,829,34434,20046,34434,4112,85,174,246,01,35601
3899,564,30545,24497,30545,971,9,368,237,01,35603
7,25,2252,2201,2252,7,0,3,9,01,35610
4363,569,25251,18261,25251,1701,21,158,178,01,35611
2469,292,20546,17229,20546,295,5,140,116,01,35613
301,144,7456,6517,7456,409,7,23,55,01,35614
49,0,68,14,68,4,0,1,0,01,35615
510,55,4043,3428,4043,25,0,7,18,01,35616
968,50,1870,806,1870,18,0,3,25,01,35618
220,153,5135,4501,5135,46,1,0,214,01,35619
261,94,8868,8323,8868,122,1,23,44,01,35620
4,55,2852,2758,2852,9,0,5,21,01,35621
69,143,7388,7041,7388,64,3,18,50,01,35622
7153,685,32629,23482,32629,678,24,472,135,01,35630
1216,249,20877,19159,20877,115,5,77,56,01,35633
200,95,9711,9250,9711,90,3,43,30,01,35634
727,393,24267,22567,24267,254,8,84,234,01,35640
894,78,2941,1840,2941,10,4,5,110,01,35643
295,147,14060,13456,14060,63,1,59,39,01,35645
1111,70,4635,3324,4635,71,0,1,58,01,35646
28,6,1030,989,1030,5,0,0,2,01,35647
3,23,3635,3582,3635,2,0,4,21,01,35648
3,0,68,65,68,0,0,0,0,01,35649
668,659,13971,11766,13971,71,0,30,777,01,35650
34,68,1312,1085,1312,8,0,1,116,01,35651
373,66,8190,7665,8190,16,1,24,45,01,35652
848,226,11150,8101,11150,1846,4,30,95,01,35653
315,143,8685,6977,8685,1135,4,24,87,01,35654
2429,154,9042,6298,9042,99,6,31,25,01,35660
2502,279,16617,13440,16617,206,6,132,52,01,35661
159,104,7676,7251,7676,46,0,20,96,01,35670
682,40,2107,1208,2107,160,0,7,10,01,35671
1127,295,6445,4511,6445,80,2,1,429,01,35672
287,271,8199,7126,8199,166,1,7,341,01,35673
2184,260,18475,15779,18475,102,8,55,87,01,35674
10,21,1921,1869,1921,10,0,3,8,01,35677
324,95,5146,4584,5146,58,1,45,39,01,35739
218,130,3482,3031,3482,37,4,4,58,01,35740
104,47,2933,2695,2933,8,7,42,30,01,35741
29,98,2570,2347,2570,59,0,2,35,01,35744
0,4,288,281,288,0,0,0,3,01,35745
25,24,856,782,856,12,0,0,13,01,35746
15,95,5901,5713,5901,14,0,15,49,01,35747
473,134,6276,5487,6276,35,5,48,94,01,35748
5073,528,20575,14288,20575,226,11,306,143,01,35749
675,272,12783,11467,12783,93,14,64,198,01,35750
1,6,265,251,265,0,0,1,6,01,35751
198,64,2047,1719,2047,29,0,6,31,01,35752
38,134,5362,4987,5362,117,0,15,71,01,35754
3,19,586,562,586,0,0,1,1,01,35755
2261,198,9016,5886,9016,91,3,507,70,01,35756
2746,355,12840,9199,12840,118,15,332,75,01,35757
6236,1064,41875,31019,41875,642,44,2650,220,01,35758
1074,126,6406,5002,6406,43,10,101,50,01,35759
18,117,5065,4796,5065,23,1,18,92,01,35760
1183,287,11630,9808,11630,116,8,31,197,01,35761
389,282,14216,12998,14216,71,10,346,120,01,35763
6,17,653,617,653,0,0,0,13,01,35764
14,122,4013,3768,4013,14,1,15,79,01,35765
0,3,150,143,150,0,0,0,4,01,35766
581,232,11581,10368,11581,183,24,64,129,01,35768
185,154,9537,8877,9537,191,10,60,60,01,35769
11,83,3645,3419,3645,46,0,7,79,01,35771
480,173,4908,4002,4908,180,8,17,48,01,35772
2331,386,13018,9935,13018,151,9,76,130,01,35773
5,0,165,158,165,0,0,0,2,01,35774
98,29,636,501,636,2,0,1,5,01,35775
15,90,3395,3218,3395,15,1,3,53,01,35776
2026,414,21509,18519,21509,130,11,279,130,01,35801
2077,464,21297,17713,21297,288,17,623,115,01,35802
859,590,25471,22572,25471,203,20,1042,185,01,35803
7324,771,22498,11067,22498,2729,53,350,204,01,35805
6303,483,18951,11083,18951,186,37,758,101,01,35806
404,77,1946,1345,1946,57,7,33,23,01,35808
22903,662,30617,6102,30617,645,34,146,125,01,35810
6335,547,25955,18317,25955,220,7,276,253,01,35811
9339,431,15228,4282,15228,657,37,410,72,01,35816
1595,218,6070,3776,6070,93,12,353,23,01,35824
600,26,636,1,636,5,0,3,1,01,35896
6591,285,20045,12481,20045,333,114,141,100,01,35901
5977,299,18088,11022,18088,603,40,105,42,01,35903
1291,278,14194,12242,14194,274,8,34,67,01,35904
95,88,6410,6162,6410,16,1,30,18,01,35905
696,140,9897,8669,9897,100,3,247,42,01,35906
111,58,8345,8065,8345,36,2,55,18,01,35907
378,470,20826,15907,20826,3796,28,80,167,01,35950
124,210,13098,10464,13098,2098,26,61,115,01,35951
44,126,7727,7293,7727,192,7,14,51,01,35952
561,123,7319,6485,7319,65,1,46,38,01,35953
1020,208,12416,10730,12416,333,4,38,83,01,35954
43,101,8842,8411,8842,232,0,19,36,01,35956
197,265,15693,13643,15693,1362,44,72,110,01,35957
11,67,3582,3425,3582,20,0,5,54,01,35958
279,85,4836,4421,4836,15,0,13,23,01,35959
