Black,Multiple,Population,White,Total_Race_Count,Other,Native_Hawaiian_Other_Pacific,Asian,American_Indian_and_Alaskan_Native,state,zip code tabulation area
2,4,657,647,657,1,0,2,1,20,66042
1482,298,10787,8606,10787,84,13,214,90,20,66043
1153,1218,28417,23996,28417,335,34,1070,611,20,66044
133,63,2023,1614,2023,19,0,185,9,20,66045
1117,949,19452,14635,19452,452,5,866,1428,20,66046
792,636,18268,15268,18268,272,10,898,392,20,66047
4734,1393,35475,27844,35475,654,52,483,315,20,66048
1001,885,25957,22415,25957,308,13,1014,321,20,66049
10,25,1822,1733,1822,8,1,9,36,20,66050
7,44,2031,1930,2031,33,0,5,12,20,66052
20,95,7524,7295,7524,44,4,30,36,20,66053
19,35,2860,2767,2860,16,2,5,16,20,66054
8,25,1694,1639,1694,8,4,0,10,20,66056
0,1,393,391,393,0,0,1,0,20,66058
1,28,1122,1085,1122,2,0,0,6,20,66060
3054,1838,55805,45454,55805,3586,25,1572,276,20,66061
3716,1957,74411,63128,74411,1565,58,3702,285,20,66062
145,136,6098,5699,6098,53,1,14,50,20,66064
9,39,2636,2548,2636,9,0,9,22,20,66066
291,550,16170,14903,16170,222,1,62,141,20,66067
21,77,2661,2529,2661,9,2,1,22,20,66070
179,253,12360,11763,12360,53,3,32,77,20,66071
5,14,1054,1028,1054,1,0,4,2,20,66072
14,55,2537,2413,2537,8,0,8,39,20,66073
15,32,2103,2007,2103,22,2,14,11,20,66075
9,43,2200,2113,2200,4,1,3,27,20,66076
4,19,961,921,961,4,0,1,12,20,66078
4,12,781,756,781,9,0,0,0,20,66079
11,13,1065,1011,1065,10,0,14,6,20,66080
122,173,8910,8420,8910,75,2,59,59,20,66083
71,136,7779,7291,7779,37,3,217,24,20,66085
86,190,9759,9304,9759,76,4,36,63,20,66086
14,29,2042,1988,2042,2,0,3,6,20,66087
29,15,2457,2384,2457,4,0,5,20,20,66088
45,40,2520,2413,2520,2,0,6,14,20,66090
1,0,352,339,352,5,0,6,1,20,66091
20,66,4084,3931,4084,25,2,22,18,20,66092
3,10,609,591,609,1,0,0,4,20,66093
7,26,416,262,416,5,0,0,116,20,66094
1,16,896,868,896,0,0,0,11,20,66095
2,17,1071,1042,1071,0,1,0,9,20,66097
4534,476,13220,4830,13220,2774,2,490,114,20,66101
7232,1146,29282,12885,29282,6586,26,1156,251,20,66102
1910,585,13934,8067,13934,2705,12,544,111,20,66103
13532,954,25401,7795,25401,2253,24,664,179,20,66104
70,100,2924,1704,2924,947,0,41,62,20,66105
1823,992,23367,16909,23367,2937,27,455,224,20,66106
4346,624,20480,14541,20480,515,29,301,124,20,66109
977,320,10155,8045,10155,610,14,89,100,20,66111
4921,477,11458,5097,11458,686,28,183,66,20,66112
0,0,0,0,0,0,0,0,0,20,66115
1,0,3,2,3,0,0,0,0,20,66118
959,503,16173,13551,16173,573,5,526,56,20,66202
1125,681,19156,16190,19156,705,14,348,93,20,66203
1080,583,18832,15441,18832,1084,6,531,107,20,66204
306,315,13216,12021,13216,311,5,213,45,20,66205
54,110,9693,9354,9693,39,1,128,7,20,66206
188,209,13004,12226,13004,59,2,278,42,20,66207
176,293,20945,20067,20945,103,2,265,39,20,66208
429,294,19561,17693,19561,95,5,1018,27,20,66209
976,467,18102,15046,18102,252,12,1291,58,20,66210
112,61,4276,3928,4276,18,1,146,10,20,66211
2059,975,32096,26628,32096,1258,23,1012,141,20,66212
893,570,27322,22872,27322,360,11,2553,63,20,66213
1048,422,11691,9073,11691,652,18,436,42,20,66214
1398,634,24770,20973,24770,949,23,704,89,20,66215
1291,560,24368,20862,24368,541,29,992,93,20,66216
535,156,5319,4434,5319,62,3,109,20,20,66217
264,166,7754,6921,7754,76,1,300,26,20,66218
802,324,10486,8684,10486,159,5,476,36,20,66219
126,106,7133,6581,7133,36,1,266,17,20,66220
378,280,15219,13257,15219,72,4,1201,27,20,66221
744,555,21759,17635,21759,155,11,2594,65,20,66223
443,216,11917,10287,11917,64,8,872,27,20,66224
374,278,12877,11717,12877,105,11,343,49,20,66226
112,67,4543,4106,4543,49,0,185,24,20,66227
2,45,1721,1659,1721,5,0,0,10,20,66401
31,60,2955,2820,2955,11,1,9,23,20,66402
0,21,757,732,757,4,0,0,0,20,66403
0,5,530,525,530,0,0,0,0,20,66404
2,6,421,408,421,2,0,0,3,20,66406
0,6,479,463,479,4,0,0,6,20,66407
1,4,434,419,434,5,0,0,5,20,66408
35,47,2997,2865,2997,14,7,15,14,20,66409
5,15,1292,1251,1292,9,0,1,11,20,66411
0,1,287,284,287,2,0,0,0,20,66412
3,26,1802,1759,1802,6,0,0,8,20,66413
9,56,2914,2806,2914,11,1,9,22,20,66414
6,16,885,851,885,3,0,4,5,20,66415
1,11,489,461,489,0,0,1,15,20,66416
0,2,310,302,310,2,0,0,4,20,66417
2,22,707,609,707,4,0,0,70,20,66418
0,10,442,428,442,1,0,1,2,20,66419
3,15,487,453,487,9,1,0,6,20,66422
6,16,985,957,985,4,0,1,1,20,66423
4,12,610,569,610,13,1,4,7,20,66424
5,13,465,444,465,0,0,1,2,20,66425
5,10,1281,1264,1281,1,0,1,0,20,66427
0,15,415,395,415,1,0,1,3,20,66428
1,16,579,546,579,6,0,4,6,20,66429
4,5,671,651,671,1,0,4,6,20,66431
0,3,396,387,396,2,0,4,0,20,66432
94,152,4828,4345,4828,58,0,17,162,20,66434
45,152,5879,5415,5879,69,0,33,165,20,66436
0,2,149,146,149,0,0,0,1,20,66438
17,103,2747,1979,2747,18,0,11,619,20,66439
6,41,2063,1901,2063,8,0,10,97,20,66440
5428,1920,26746,16926,26746,1013,234,967,258,20,66441
2075,754,14283,10430,14283,447,78,333,166,20,66442
6,16,846,815,846,6,1,0,2,20,66449
5,25,1793,1752,1793,1,0,1,9,20,66451
0,8,260,249,260,2,0,0,1,20,66501
2152,1496,43850,37073,43850,865,57,1970,237,20,66502
714,454,13428,11427,13428,141,31,592,69,20,66503
215,112,3614,3006,3614,47,0,223,11,20,66506
5,31,1247,1201,1247,3,0,1,6,20,66507
13,56,4375,4241,4375,33,2,21,9,20,66508
12,163,2596,1705,2596,15,1,1,699,20,66509
1,12,779,759,779,1,1,4,1,20,66510
14,49,3361,3252,3361,7,1,7,31,20,66512
112,91,1657,1386,1657,28,2,29,9,20,66514
0,8,425,413,425,0,0,0,4,20,66515
2,3,378,354,378,1,0,3,15,20,66516
234,130,2087,1602,2087,55,5,35,26,20,66517
0,3,189,185,189,0,0,0,1,20,66518
1,11,577,560,577,1,0,0,4,20,66520
2,19,1532,1475,1532,23,0,7,6,20,66521
0,0,49,49,49,0,0,0,0,20,66522
15,73,3833,3696,3833,9,3,12,25,20,66523
6,19,2499,2437,2499,6,0,6,25,20,66524
4,24,801,770,801,0,0,0,3,20,66526
1,2,267,230,267,0,0,0,34,20,66527
5,15,945,908,945,4,0,0,13,20,66528
7,20,1380,1327,1380,7,0,3,16,20,66531
0,20,668,640,668,1,0,0,7,20,66532
10,32,1832,1716,1832,16,0,5,53,20,66533
31,48,3725,3596,3725,26,2,6,16,20,66534
26,69,2616,2455,2616,16,5,23,22,20,66535
39,116,3922,3602,3922,90,0,20,55,20,66536
3,20,1448,1400,1448,7,0,5,13,20,66537
18,15,3264,3217,3264,8,2,1,3,20,66538
12,45,2806,2706,2806,6,5,7,25,20,66539
3,9,540,502,540,3,0,1,22,20,66540
1,2,236,233,236,0,0,0,0,20,66541
34,56,3335,3158,3335,37,5,16,29,20,66542
0,8,725,711,725,3,0,2,1,20,66543
0,9,337,326,337,0,0,0,2,20,66544
3,17,1012,980,1012,8,0,3,1,20,66546
52,196,7617,7218,7617,72,4,31,44,20,66547
2,8,961,943,961,1,1,0,6,20,66548
8,19,1646,1596,1646,7,2,1,13,20,66549
1,7,607,582,607,4,0,2,11,20,66550
6,16,396,368,396,0,0,0,6,20,66552
0,8,567,556,567,0,0,3,0,20,66554
354,156,2001,1193,2001,256,0,4,38,20,66603
2254,1068,23344,18775,23344,750,15,198,284,20,66604
3861,1170,19919,13066,19919,1440,14,115,253,20,66605
701,485,11284,9499,11284,333,4,124,138,20,66606
2327,706,10498,5754,10498,1430,5,18,258,20,66607
246,275,5991,5100,5991,155,0,27,188,20,66608
855,361,7068,5463,7068,232,1,70,86,20,66609
244,175,9080,8305,9080,61,5,235,55,20,66610
936,447,9832,7945,9832,230,14,172,88,20,66611
554,198,2477,1436,2477,221,1,12,55,20,66612
2031,1111,31354,26587,31354,483,35,821,286,20,66614
95,70,2814,2524,2814,43,3,52,27,20,66615
196,314,5874,4692,5874,544,3,24,101,20,66616
94,192,8688,8221,8688,66,3,48,64,20,66617
160,212,9402,8864,9402,56,1,48,61,20,66618
193,166,3070,2597,3070,54,3,15,42,20,66619
45,19,643,519,643,6,1,51,2,20,66621
12,3,76,59,76,0,0,0,2,20,66622
405,300,12325,11393,12325,72,5,63,87,20,66701
0,24,746,716,746,0,0,1,5,20,66710
4,21,610,576,610,5,0,0,4,20,66711
2,21,1939,1882,1939,7,0,5,22,20,66712
50,294,5836,5014,5836,35,59,19,365,20,66713
0,6,177,165,177,3,0,0,3,20,66714
12,10,567,528,567,12,0,1,4,20,66716
0,4,497,485,497,0,0,0,8,20,66717
179,221,11299,10547,11299,149,6,71,126,20,66720
3,24,1065,1023,1065,2,0,1,12,20,66724
27,167,5739,5341,5739,23,0,21,160,20,66725
2,5,91,79,91,0,5,0,0,20,66728
1,4,291,283,291,1,0,2,0,20,66732
4,23,2215,2132,2215,23,0,5,28,20,66733
0,7,332,315,332,0,0,3,7,20,66734
4,8,421,401,421,1,0,3,4,20,66735
20,93,3954,3759,3954,12,5,20,45,20,66736
1,11,376,354,376,3,0,0,7,20,66738
21,208,5453,4926,5453,42,1,19,236,20,66739
11,10,477,451,477,1,0,1,3,20,66740
3,2,237,223,237,0,0,3,6,20,66741
58,75,4373,4162,4373,25,1,10,42,20,66743
0,3,261,257,261,1,0,0,0,20,66746
31,46,2750,2605,2750,51,1,1,15,20,66748
195,229,7974,7355,7974,67,0,58,70,20,66749
8,19,849,803,849,6,0,6,7,20,66751
0,19,1077,1037,1077,3,0,2,16,20,66753
0,7,451,441,451,0,0,1,2,20,66754
14,28,1178,1121,1178,2,1,0,12,20,66755
9,30,1007,922,1007,15,2,0,29,20,66756
16,69,3560,3401,3560,18,0,15,41,20,66757
0,0,216,204,216,9,0,0,3,20,66758
4,7,98,86,98,0,0,1,0,20,66760
1,6,238,219,238,5,0,0,7,20,66761
683,755,24786,21994,24786,648,70,426,210,20,66762
18,65,3369,3218,3369,22,6,25,15,20,66763
2,10,511,486,511,7,0,0,6,20,66767
4,20,557,527,557,0,0,0,6,20,66769
4,78,1158,1018,1158,3,0,1,54,20,66770
0,17,1028,1002,1028,2,0,2,5,20,66771
0,7,253,239,253,1,0,0,6,20,66772
0,24,866,822,866,5,0,4,11,20,66773
0,5,191,186,191,0,0,0,0,20,66775
2,34,1288,1242,1288,0,0,3,7,20,66776
0,10,639,609,639,10,0,0,10,20,66777
0,14,139,111,139,0,0,0,14,20,66778
2,5,650,636,650,2,0,2,3,20,66779
1,4,589,571,589,7,0,0,6,20,66780
14,29,1347,1276,1347,6,0,0,22,20,66781
0,9,178,167,178,0,0,0,2,20,66782
11,48,2230,2140,2230,9,0,2,20,20,66783
811,836,28492,23064,28492,2765,16,774,226,20,66801
0,10,262,247,262,1,1,0,3,20,66830
2,6,536,522,536,4,0,1,1,20,66833
5,7,848,825,848,5,0,2,4,20,66834
2,32,1360,1315,1360,6,0,3,2,20,66835
1,0,182,180,182,0,0,0,1,20,66838
38,63,4007,3813,4007,25,0,27,41,20,66839
11,7,777,746,777,4,2,0,7,20,66840
3,4,324,311,324,3,1,1,1,20,66842
0,6,205,196,205,1,0,2,0,20,66843
31,22,1232,1160,1232,17,0,2,0,20,66845
9,46,3504,3381,3504,49,1,8,10,20,66846
4,12,485,461,485,1,0,2,5,20,66849
0,6,228,217,228,1,0,4,0,20,66850
6,15,583,551,583,6,0,1,4,20,66851
3,12,631,609,631,1,0,5,1,20,66852
1,8,429,411,429,0,0,1,8,20,66853
1,13,816,788,816,6,0,1,7,20,66854
3,12,1613,1587,1613,3,0,3,5,20,66856
0,17,943,924,943,0,0,1,1,20,66857
0,3,456,442,456,3,0,1,7,20,66858
0,8,178,160,178,7,0,1,2,20,66859
3,22,1258,1215,1258,4,0,1,13,20,66860
12,40,3204,3117,3204,16,1,6,12,20,66861
0,4,116,112,116,0,0,0,0,20,66862
0,0,63,63,63,0,0,0,0,20,66863
0,6,456,448,456,1,0,1,0,20,66864
2,5,1124,1110,1124,4,0,1,2,20,66865
22,41,1789,1691,1789,11,1,5,18,20,66866
2,10,764,747,764,5,0,0,0,20,66868
3,8,748,729,748,1,0,1,6,20,66869
0,3,166,162,166,0,0,0,1,20,66870
3,27,1346,1302,1346,0,0,4,10,20,66871
5,16,1134,1085,1134,16,0,3,9,20,66872
4,17,319,287,319,6,0,3,2,20,66873
45,112,6605,6321,6605,89,1,15,22,20,66901
0,2,186,184,186,0,0,0,0,20,66930
0,7,157,150,157,0,0,0,0,20,66932
0,0,298,286,298,10,0,0,2,20,66933
19,20,2563,2495,2563,14,0,11,4,20,66935
0,2,344,334,344,5,0,0,3,20,66936
3,4,893,871,893,3,0,11,1,20,66937
2,11,1005,986,1005,4,0,2,0,20,66938
3,1,537,528,537,1,0,4,0,20,66939
0,6,339,331,339,0,0,0,2,20,66940
1,4,242,234,242,0,0,0,3,20,66941
0,1,247,246,247,0,0,0,0,20,66942
1,2,505,491,505,8,0,0,3,20,66943
0,2,195,192,195,0,0,0,1,20,66944
6,4,1096,1078,1096,4,0,2,2,20,66945
0,5,126,120,126,1,0,0,0,20,66946
4,4,494,482,494,1,0,1,2,20,66948
0,17,668,641,668,1,0,1,8,20,66949
0,19,764,722,764,12,0,5,6,20,66951
2,7,499,479,499,8,0,2,1,20,66952
10,5,703,672,703,12,0,1,3,20,66953
0,2,114,112,114,0,0,0,0,20,66955
3,12,1157,1131,1157,4,0,4,3,20,66956
2,3,314,309,314,0,0,0,0,20,66958
0,1,203,202,203,0,0,0,0,20,66959
0,0,167,167,167,0,0,0,0,20,66960
0,3,264,248,264,12,0,1,0,20,66962
1,3,135,131,135,0,0,0,0,20,66963
0,1,204,198,204,1,0,0,4,20,66964
3,2,624,617,624,0,0,0,2,20,66966
2,27,2096,2048,2096,7,4,2,6,20,66967
6,25,1626,1584,1626,5,0,4,2,20,66968
0,0,97,97,97,0,0,0,0,20,66970
0,14,1676,1655,1676,7,0,0,0,20,67001
137,340,13764,12834,13764,122,9,240,82,20,67002
12,51,2626,2485,2626,34,6,4,34,20,67003
8,12,827,803,827,0,0,0,4,20,67004
508,672,16535,13651,16535,1159,15,91,439,20,67005
0,24,556,502,556,14,0,0,16,20,67008
5,7,856,826,856,8,0,0,10,20,67009
58,310,13890,13139,13890,127,11,73,172,20,67010
0,0,61,59,61,0,0,0,2,20,67012
14,72,3145,3002,3145,14,1,8,34,20,67013
5,6,530,488,530,11,0,4,16,20,67016
23,29,2294,2176,2294,32,0,11,23,20,67017
0,2,149,147,149,0,0,0,0,20,67018
2,9,945,915,945,0,0,0,19,20,67019
11,34,1689,1604,1689,28,0,1,11,20,67020
0,2,65,63,65,0,0,0,0,20,67021
10,25,1461,1391,1461,15,0,1,19,20,67022
0,2,230,222,230,0,0,1,5,20,67023
2,31,849,781,849,0,0,1,34,20,67024
9,69,3884,3753,3884,18,3,7,25,20,67025
10,82,4845,4683,4845,20,0,13,37,20,67026
0,4,225,216,225,1,0,1,3,20,67028
6,17,1063,1027,1063,9,1,1,2,20,67029
14,32,2659,2577,2659,24,1,4,7,20,67030
9,46,2308,2236,2308,5,0,2,10,20,67031
2,7,970,951,970,2,0,1,7,20,67035
0,3,151,141,151,7,0,0,0,20,67036
443,774,26577,24420,26577,230,35,432,243,20,67037
2,5,602,580,602,0,1,0,14,20,67038
16,55,3395,3272,3395,9,0,12,31,20,67039
0,1,229,228,229,0,0,0,0,20,67041
814,420,17969,16238,17969,223,11,61,202,20,67042
10,95,3644,3466,3644,30,0,12,31,20,67045
1,23,731,697,731,7,0,1,2,20,67047
0,0,79,78,79,0,0,0,1,20,67049
6,22,1844,1805,1844,2,0,3,6,20,67050
2,4,456,440,456,3,1,0,6,20,67051
78,215,8325,7749,8325,144,0,75,64,20,67052
1,8,539,523,539,5,0,0,2,20,67053
5,12,1167,1117,1167,18,0,5,10,20,67054
0,1,71,68,71,2,0,0,0,20,67055
13,45,2935,2843,2935,18,0,9,7,20,67056
0,5,241,234,241,0,0,1,1,20,67057
4,21,2093,1956,2093,80,7,1,24,20,67058
10,8,1042,1004,1042,2,1,4,13,20,67059
88,448,13733,12733,13733,186,3,99,176,20,67060
1,4,171,162,171,3,0,0,1,20,67061
62,72,4156,3878,4156,59,1,62,22,20,67062
54,68,3942,3762,3942,34,4,7,13,20,67063
0,6,228,218,228,2,1,0,1,20,67065
0,3,302,295,302,3,0,1,0,20,67066
97,52,1541,1338,1541,21,0,23,10,20,67067
7,48,4354,4229,4354,31,1,14,24,20,67068
2,14,1169,1121,1169,18,0,2,12,20,67070
0,1,94,92,94,1,0,0,0,20,67071
0,3,244,238,244,1,0,0,2,20,67072
1,2,309,300,309,5,0,1,0,20,67073
5,42,1741,1652,1741,13,0,3,26,20,67074
54,129,3604,3287,3604,49,3,47,35,20,67101
1,2,326,320,326,2,0,1,0,20,67103
16,31,2506,2409,2506,28,0,15,7,20,67104
9,2,190,170,190,9,0,0,0,20,67105
0,9,388,372,388,3,0,0,4,20,67106
10,35,2979,2888,2979,33,0,3,10,20,67107
5,27,1696,1629,1696,17,0,4,14,20,67108
2,5,418,394,418,8,0,7,2,20,67109
44,200,8415,7933,8415,66,7,70,95,20,67110
0,8,352,324,352,6,0,13,1,20,67111
1,2,227,223,227,0,0,1,0,20,67112
441,591,21852,19523,21852,947,9,163,178,20,67114
24,27,1769,1676,1769,17,0,15,10,20,67117
3,20,810,779,810,2,0,0,6,20,67118
11,33,1457,1387,1457,7,0,5,14,20,67119
0,27,1358,1295,1358,12,0,5,19,20,67120
5,3,221,207,221,0,0,0,6,20,67122
1,19,741,695,741,10,0,3,13,20,67123
107,157,8203,7690,8203,174,0,25,50,20,67124
0,6,701,674,701,15,0,4,2,20,67127
0,0,258,254,258,1,0,0,3,20,67131
1,2,410,398,410,1,0,0,8,20,67132
21,137,6379,6095,6379,42,0,50,34,20,67133
6,14,420,391,420,8,0,0,1,20,67134
19,64,3493,3294,3493,83,1,7,25,20,67135
3,9,634,617,634,1,0,2,2,20,67137
2,11,397,377,397,0,0,2,5,20,67138
7,22,802,744,802,17,0,2,10,20,67140
0,2,445,438,445,0,0,1,4,20,67142
0,0,58,58,58,0,0,0,0,20,67143
5,56,2716,2598,2716,17,6,12,22,20,67144
0,43,1830,1746,1830,8,0,4,29,20,67146
103,224,9908,9273,9908,133,1,78,96,20,67147
3,21,988,942,988,15,0,1,6,20,67149
0,2,12,10,12,0,0,0,0,20,67150
5,4,479,455,479,0,0,3,12,20,67151
150,301,9541,8758,9541,166,1,27,138,20,67152
8,40,1510,1435,1510,6,6,1,14,20,67154
0,2,166,162,166,1,1,0,0,20,67155
491,478,15269,13382,15269,231,1,489,197,20,67156
0,0,169,169,169,0,0,0,0,20,67159
234,41,1393,1023,1393,42,2,34,17,20,67202
1846,1385,31287,23448,31287,3655,13,447,493,20,67203
722,795,21194,15367,21194,3589,9,364,348,20,67204
230,444,16811,14982,16811,287,17,739,112,20,67205
1051,320,15186,12646,15186,186,9,909,65,20,67206
4611,1384,26978,16022,26978,999,60,3619,283,20,67207
5419,878,18161,10409,18161,400,19,904,132,20,67208
370,464,13654,11890,13654,372,18,403,137,20,67209
1277,558,10339,6518,10339,768,26,1087,105,20,67210
2197,1117,20644,13987,20644,2186,10,766,381,20,67211
1532,1559,44707,38932,44707,1183,28,1009,464,20,67212
1431,1160,21368,16215,21368,1819,22,327,394,20,67213
8005,837,16542,5087,16542,1816,8,549,240,20,67214
91,157,5708,4876,5708,134,1,411,38,20,67215
1914,1404,24041,16623,24041,2095,34,1481,490,20,67216
1697,1600,30186,23643,30186,1545,11,1240,450,20,67217
3130,1190,22772,15138,22772,2092,36,903,283,20,67218
3354,529,12121,7361,12121,525,4,199,149,20,67219
3741,577,14214,8301,14214,200,15,1259,121,20,67220
4,6,513,488,513,5,0,8,2,20,67223
1848,603,17757,13526,17757,193,13,1473,101,20,67226
2,1,344,338,344,2,0,1,0,20,67227
41,77,2033,1631,2033,20,0,249,15,20,67228
346,255,9959,8397,9959,58,3,865,35,20,67230
7,4,298,261,298,6,0,15,5,20,67232
107,250,11446,10614,11446,130,2,275,68,20,67235
0,0,0,0,0,0,0,0,0,20,67260
743,543,13556,11696,13556,252,4,101,217,20,67301
7,59,1535,1433,1535,5,1,0,30,20,67330
0,25,207,174,207,0,0,0,8,20,67332
18,183,3089,2661,3089,24,4,6,193,20,67333
0,9,104,90,104,0,0,1,4,20,67334
37,80,3671,3469,3671,22,5,8,50,20,67335
24,73,1683,1496,1683,11,0,3,76,20,67336
1252,857,13493,10226,13493,367,24,90,677,20,67337
1,30,355,302,355,0,0,0,22,20,67340
1,14,373,342,373,11,1,1,3,20,67341
0,66,969,857,969,5,0,0,41,20,67342
2,23,877,828,877,4,2,0,18,20,67344
0,5,161,149,161,4,0,1,2,20,67345
0,4,372,357,372,1,0,6,4,20,67346
1,21,431,393,431,0,0,0,16,20,67347
0,25,1034,982,1034,5,0,3,19,20,67349
0,20,391,364,391,0,0,0,7,20,67351
0,18,593,558,593,5,1,0,11,20,67352
0,11,582,557,582,4,0,1,9,20,67353
1,40,825,756,825,6,0,0,22,20,67354
4,11,213,181,213,0,0,0,17,20,67355
28,99,2834,2616,2834,9,0,1,81,20,67356
941,497,13006,11204,13006,109,2,72,181,20,67357
2,28,409,347,409,2,0,0,30,20,67360
8,52,1841,1685,1841,27,2,1,66,20,67361
0,1,78,76,78,0,0,0,1,20,67363
6,24,311,263,311,0,0,1,17,20,67364
1797,1643,51499,44751,51499,1871,25,1137,275,20,67401
87,234,10141,9650,10141,102,0,29,39,20,67410
8,11,1146,1116,1146,8,0,1,2,20,67416
0,0,179,177,179,0,0,0,2,20,67417
0,1,246,242,246,3,0,0,0,20,67418
10,38,4721,4625,4721,14,5,10,19,20,67420
14,13,1366,1331,1366,0,0,2,6,20,67422
1,1,316,306,316,5,0,3,0,20,67423
1,11,689,669,689,4,1,1,2,20,67425
8,6,408,385,408,2,0,0,7,20,67427
5,21,1465,1427,1465,3,2,1,6,20,67428
1,8,611,596,611,4,0,2,0,20,67430
30,43,2471,2374,2471,7,0,8,9,20,67431
25,61,6019,5863,6019,23,2,19,26,20,67432
3,13,636,615,636,4,0,0,1,20,67436
4,9,1161,1133,1161,0,0,5,10,20,67437
0,2,300,296,300,1,0,0,1,20,67438
296,37,3674,3273,3674,27,0,17,24,20,67439
8,34,1115,1047,1115,14,1,3,8,20,67441
0,0,266,264,266,0,0,0,2,20,67442
3,17,1794,1764,1794,2,0,4,4,20,67443
0,10,527,513,527,4,0,0,0,20,67444
0,2,680,667,680,7,0,1,3,20,67445
2,4,617,598,617,2,0,4,7,20,67446
4,3,320,310,320,0,0,1,2,20,67447
8,15,1374,1299,1374,33,1,6,12,20,67448
17,88,3351,3151,3351,48,5,14,28,20,67449
0,10,555,537,555,2,0,1,5,20,67450
9,20,948,907,948,2,4,1,5,20,67451
0,2,201,197,201,0,0,1,1,20,67452
0,18,563,537,563,1,0,0,7,20,67454
8,18,1980,1923,1980,15,0,2,14,20,67455
59,93,4736,4504,4736,41,4,27,8,20,67456
1,10,878,859,878,2,0,2,4,20,67457
0,2,261,256,261,0,0,1,2,20,67458
0,6,251,241,251,3,0,0,1,20,67459
216,299,15168,14213,15168,250,14,113,63,20,67460
1,14,1090,1058,1090,16,0,0,1,20,67464
0,8,774,760,774,4,0,1,1,20,67466
24,42,2904,2798,2904,21,0,5,14,20,67467
2,2,307,301,307,1,0,0,1,20,67468
0,8,456,439,456,1,0,1,7,20,67470
2,9,1728,1695,1728,6,0,7,9,20,67473
3,4,224,217,224,0,0,0,0,20,67474
0,10,283,264,283,0,0,1,8,20,67475
0,1,89,88,89,0,0,0,0,20,67478
4,33,1805,1744,1805,16,0,5,3,20,67480
0,5,590,581,590,1,0,0,3,20,67481
0,0,99,94,99,0,0,0,5,20,67482
3,2,338,330,338,0,0,0,3,20,67483
6,15,891,860,891,6,0,1,3,20,67484
0,3,339,331,339,1,0,4,0,20,67485
4,35,1422,1366,1422,4,0,6,7,20,67487
3,35,1055,1007,1055,3,0,6,1,20,67490
1,3,399,384,399,9,0,2,0,20,67491
0,1,166,163,166,0,1,0,1,20,67492
1581,1012,27212,23024,27212,1251,6,110,228,20,67501
290,461,23739,22473,23739,242,5,170,98,20,67502
26,76,2457,2258,2457,56,2,15,24,20,67505
0,5,281,275,281,0,0,0,1,20,67510
0,4,318,303,318,10,0,0,1,20,67511
1,11,234,218,234,1,0,1,2,20,67512
0,0,93,89,93,4,0,0,0,20,67513
5,8,765,741,765,0,5,1,5,20,67514
6,1,63,56,63,0,0,0,0,20,67515
0,5,447,392,447,42,0,0,8,20,67516
0,2,69,66,69,0,0,1,0,20,67518
0,0,193,179,193,12,0,0,2,20,67519
2,3,415,407,415,1,0,0,2,20,67520
6,0,155,149,155,0,0,0,0,20,67521
1,16,2049,2004,2049,11,1,3,13,20,67522
1,3,373,365,373,2,0,1,1,20,67523
3,19,630,596,630,8,0,3,1,20,67524
1,11,1119,1094,1119,8,0,0,5,20,67525
7,40,2759,2678,2759,19,1,2,12,20,67526
2,11,365,348,365,0,0,0,4,20,67529
360,412,19699,16878,19699,1871,16,49,113,20,67530
10,36,2125,2042,2125,10,0,3,24,20,67543
31,70,3216,3064,3216,36,0,3,12,20,67544
1,2,215,208,215,3,0,0,1,20,67545
1,44,2597,2519,2597,15,1,7,10,20,67546
13,24,1769,1652,1769,63,0,12,5,20,67547
3,12,1467,1442,1467,2,0,3,5,20,67548
322,125,5905,5284,5905,101,6,31,36,20,67550
8,6,720,595,720,104,0,0,7,20,67552
0,2,114,112,114,0,0,0,0,20,67553
56,147,4334,3762,4334,314,4,16,35,20,67554
1,8,320,306,320,1,0,0,4,20,67556
1,12,723,609,723,92,0,2,7,20,67557
0,0,52,50,52,1,0,1,0,20,67559
4,14,1740,1688,1740,29,0,3,2,20,67560
8,22,1538,1500,1538,4,0,0,4,20,67561
0,2,371,343,371,20,0,0,6,20,67563
0,1,308,304,308,1,0,0,2,20,67564
1,5,429,408,429,12,0,1,2,20,67565
4,11,650,619,650,5,0,3,8,20,67566
0,15,526,497,526,13,0,0,1,20,67567
0,4,309,296,309,8,0,0,1,20,67568
2,19,1338,1288,1338,18,0,3,8,20,67570
1,3,456,446,456,5,0,1,0,20,67572
0,4,170,159,170,7,0,0,0,20,67573
0,2,252,249,252,1,0,0,0,20,67574
1,7,465,449,465,2,0,3,3,20,67575
3,17,1915,1798,1915,63,1,12,21,20,67576
8,17,1405,1332,1405,21,0,2,25,20,67578
60,65,3095,2908,3095,26,0,15,21,20,67579
0,9,416,399,416,7,0,1,0,20,67581
2,17,1022,948,1022,30,0,2,23,20,67583
1,3,269,262,269,2,0,1,0,20,67584
232,411,23797,22122,23797,577,5,390,60,20,67601
5,6,393,376,393,0,0,1,5,20,67621
7,2,599,580,599,8,0,0,2,20,67622
0,4,270,266,270,0,0,0,0,20,67623
30,9,257,214,257,1,0,3,0,20,67625
0,0,145,142,145,1,0,1,1,20,67626
0,0,78,78,78,0,0,0,0,20,67628
0,0,143,141,143,0,0,0,2,20,67629
0,2,249,247,249,0,0,0,0,20,67631
0,1,227,222,227,1,0,3,0,20,67632
