zip_code,store_count
85716,1
20910,1
44122,1
33324,2
06117,1
77042,1
60607,1
15206,1
94612,1
21401,1
02476,1
92651,1
78258,1
22180,1
32303,1
08540,1
27408,1
37215,1
29607,1
78749,1
40207,1
07042,1
50266,1
28403,1
80206,2
98004,2
02920,1
81621,1
97701,1
46545,1
21209,1
21202,1
22901,1
84121,1
85028,1
94596,1
23060,1
97209,1
73118,1
85750,1
30329,1
89502,1
07701,1
43235,1
10025,1
10022,1
86001,1
33071,1
96816,1
60646,1
85054,1
45209,1
55401,1
04101,1
98036,2
02904,1
33607,1
20007,1
20005,1
70809,1
77019,1
93105,1
95678,2
02176,2
19454,1
55305,1
60540,1
30328,1
76011,1
89117,1
95010,1
01035,1
01801,1
94549,1
37919,1
95014,1
87109,1
08053,1
93405,1
20878,1
29928,1
27615,1
95062,1
94941,3
01701,2
63017,1
75093,1
70115,1
92260,1
33139,1
94112,1
94117,3
33131,1
91364,1
91360,1
70508,1
48322,1
90210,1
28210,1
85016,1
90036,1
48104,1
77056,1
77057,2
19462,1
95630,1
02135,1
07450,1
06107,1
02139,2
02138,1
60614,1
60613,1
60611,2
87505,2
33431,1
02446,1
90046,1
90049,2
92647,1
95864,1
77025,1
22152,1
80922,1
91107,1
80920,2
91105,1
93036,1
20190,1
32792,1
06820,1
06033,2
95126,3
92037,1
78758,1
78759,1
97223,1
60126,1
96734,1
96732,1
94301,1
11755,1
11753,1
80210,2
74137,1
34236,1
98466,1
07960,1
72211,1
75214,1
75219,1
30067,1
06810,1
91326,2
97212,1
97213,1
22201,1
30068,1
10019,1
43221,1
01940,1
75069,1
78209,1
60657,1
60654,1
10710,1
80401,2
55416,1
19087,1
60305,1
55369,1
86305,1
20016,1
94705,2
10573,1
27104,1
92677,2
33761,2
35243,1
37067,1
77098,1
03063,1
87110,1
95118,1
27607,1
38117,1
02906,1
67206,1
94952,3
46240,1
01907,1
02130,1
30909,1
60189,1
55105,1
84020,1
97224,1
91356,1
91355,1
45040,1
10128,1
02129,2
07726,1
02458,2
33156,1
33401,1
02155,2
02019,1
86336,1
75254,1
21044,1
07020,1
60527,1
60521,1
98119,1
30305,1
76034,1
98115,1
60015,1
70119,1
95032,1
74105,1
27518,1
85224,1
27514,1
08034,1
95472,1
07652,1
95476,1
19147,1
30009,1
60068,1
60062,1
02482,1
40503,1
70002,1
90245,3
84102,1
84106,1
66209,1
30097,1
66062,1
10007,1
10001,1
10002,1
10003,1
33180,1
33181,1
77494,1
44118,1
68114,1
60661,1
75077,1
89119,1
60462,1
19130,1
48309,1
85704,1
19096,1
33624,2
94710,2
77070,1
23454,1
02118,1
63144,1
02115,1
02114,1
80304,1
80305,1
92660,2
80301,2
33027,1
60201,1
60202,1
29205,1
94403,1
30308,1
02026,1
29464,1
77478,1
92014,1
93940,1
78738,1
53211,2
07052,1
80231,2
83702,1
46032,1
07940,1
06880,1
34108,1
31404,1
27705,1
95401,1
95405,1
89012,1
11030,1
75230,1
75231,1
06830,1
20852,1
10605,1
80126,1
80122,2
80123,1
28805,1
28801,1
11215,1
89128,1
33062,2
60660,1
19046,1
37405,1
22314,1
55435,1
33410,1
33414,1
33143,1
22033,1
98683,1
19342,1
06460,1
02143,1
97124,1
20037,1
48103,1
48084,1
53705,2
15090,1
98121,1
22043,1
95008,1
94538,1
90401,2
90403,3
78703,1
60173,1
07088,1
60074,1
66212,1
90277,1
97214,1
85282,1
68510,1
28078,1
20815,1
20816,1
02190,1
84098,1
90291,2
48201,1
77380,1
01778,1
94109,1
39211,1
94062,2
94107,2
12205,1
